id,parameter
SFT-BMS-022,VlPWRCTL_DchgP_W
SFT-BMS-022,LuPWRCTL_SysMinVol_mV
SFT-BMS-022,LuPWRCTL_SysMinVol_Mv
SFT-BMS-022,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-022,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-022,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-022,KsPWRCTL_ChgMaxT_deg
SFT-BMS-022,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-022,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-023,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-023,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-023,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-023,VePWRCTL_CutPwrPercent_enum
SFT-BMS-023,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-023,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-023,LsPWRCTL_BattSOC_pct
SFT-BMS-023,KbPWRCTL_BattSOCCal_flg
SFT-BMS-023,KfPWRCTL_BattSOCCal_pct
SFT-BMS-023,LsPWRCTL_BattSOC_pct
SFT-BMS-023,LfPWRCTL_BMSSysI_A
SFT-BMS-023,VlPWRCTL_DchgP_W
SFT-BMS-023,LuPWRCTL_SysMinVol_mV
SFT-BMS-023,LuPWRCTL_SysMinVol_Mv
SFT-BMS-023,KuPWRCTL_CutDwnPwrMinCellVolt_mV
SFT-BMS-023,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-023,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-023,KsPWRCTL_ChgMaxT_deg
SFT-BMS-023,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-023,KsPWRCTL_DisChgMaxT_deg
SFT-BMS-024,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-024,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-024,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-024,VePWRCTL_CutPwrPercent_enum
SFT-BMS-024,LsPWRCTL_BMUMinTemp_deg
SFT-BMS-024,LsPWRCTL_BMUMaxTemp_deg
SFT-BMS-024,LsPWRCTL_BattSOC_pct
SFT-BMS-024,KbPWRCTL_BattSOCCal_flg
